byte,count
adff,15
43cb,18
1068,13
d115,18
d69e,16
4598,9
0183,14
d077,16
6045,11
28c9,12
4289,11
29ae,18
f6a0,15
c67c,14
e8b0,16
6e20,8
0de6,13
2b19,13
9d88,9
1e5c,14
1181,21
48de,17
34ca,9
7df8,11
974d,12
8bf0,12
87a0,13
73d0,13
d22d,12
cc82,10
9e7a,19
7ff9,17
7b0e,11
e6a0,15
2619,21
3fc5,16
a7dd,12
1402,16
96c6,19
25bf,11
3082,12
376b,11
8f28,13
ac27,16
2cfb,25
503a,16
a0e0,12
a6fa,16
f6ac,9
61aa,19
3c65,18
7717,13
d52b,11
3737,14
73ff,16
3d8d,11
04b9,15
5ce4,17
fd94,13
ca2c,14
8a55,18
4f53,19
d16c,17
8da4,14
5844,9
5f4d,22
0b9a,17
53ac,17
f4cc,14
6c36,12
89c3,10
d966,21
af7e,15
1232,14
e822,19
6141,15
8660,16
10df,18
3b72,10
d435,17
8121,9
cf87,23
5931,24
ddcb,11
80de,15
27cb,8
394d,13
af59,21
0a6c,19
6404,16
6c7a,7
c056,18
7713,13
7ea6,11
90e8,14
3915,21
f771,18
8d30,17
ea44,9
4cab,17
fbdc,17
5a0e,14
fb20,15
0737,19
f87f,16
faa5,23
5817,19
f475,14
24f7,13
095c,14
f9c8,14
1f79,14
a624,10
8318,17
689e,24
607a,13
b6a8,14
278c,14
6490,16
0cf3,10
bc60,11
47d5,10
aa72,15
657f,14
a5fc,14
9a75,17
7e59,9
0d61,15
5ff2,12
e2d7,14
ea93,12
ed7d,19
1c65,12
5251,13
4743,8
5e42,8
b4dc,8
8c66,7
7503,17
a007,12
71fd,9
fa9c,16
e618,24
21d3,10
3015,17
cecf,15
4dce,14
2d64,15
615f,11
77c4,18
5328,17
9cdb,15
d2ee,11
79a4,20
cc30,15
3f31,11
f1e9,22
2578,17
1011,19
d3d0,9
f856,11
f236,20
7bda,18
bde8,15
0cbc,13
71b4,14
6096,17
7f27,17
79bc,23
9a24,12
a8d4,15
efc2,10
6d4a,18
0784,10
691a,19
10c6,22
cda9,14
7a5f,12
f258,15
1225,19
4307,10
fcd1,13
3333,12
f636,15
0055,8
7367,13
74bd,9
13fb,11
3cc8,18
6372,12
786e,12
ad2b,14
da59,26
5575,11
8c69,16
1d9c,11
9020,14
27c5,9
625a,8
101e,19
835b,16
ed74,15
bb8f,19
bb6b,15
bf37,22
5f07,15
527e,15
913f,16
d388,16
3c5c,11
e8bf,12
ba81,11
d2ae,18
2bdd,13
f304,11
66f0,13
0989,13
407f,10
8e59,12
71d7,15
11f0,16
e5f4,11
420e,13
d259,14
0933,10
117d,10
aa20,14
ab17,16
56b7,15
b71a,13
f0e6,9
61f8,11
8bb4,16
071a,14
aa34,11
6adb,15
7cc2,19
a905,16
675f,11
fd1b,11
3154,11
8dfe,16
e5a7,9
0afd,12
8f74,14
cc47,9
c4df,18
dd2e,14
7416,18
a7ec,21
49aa,23
a9f3,8
56e2,23
4526,14
3584,16
947d,16
113a,12
26fa,20
edfb,11
1ef3,10
f623,17
02a3,19
a442,17
a8df,8
5d73,13
1387,10
2d22,15
a013,18
f6e8,11
ede8,9
b0a0,12
2b0d,17
0cd5,18
7145,14
0bea,13
63d7,13
77c8,17
7ac1,14
1855,9
a863,16
6554,14
4048,16
9325,17
d881,20
2c44,14
ab23,21
e9ff,13
7020,18
b578,14
0f63,11
570e,16
6d84,20
c644,17
d1f4,12
7219,19
4724,16
3522,16
3fdd,16
d5b9,15
24cd,15
1c4a,7
494a,17
3033,17
710b,9
ecde,22
dae1,10
0c46,16
2550,18
90c5,19
2ab2,9
5b7d,12
f0e1,17
0cb6,10
1799,5
0b32,15
b1ff,17
46dc,14
75d4,9
ead8,15
11d3,13
a136,13
6177,10
179a,12
1109,7
210f,11
64db,12
68c4,13
15c2,9
2164,14
2dda,12
c0d2,10
2ac5,13
435b,13
8388,9
0637,16
4592,15
63ce,13
a970,12
8ecb,15
c416,14
cd50,16
2489,13
bc87,9
0a10,17
26a6,12
4954,11
6aca,8
e5a1,19
a8e3,17
ae43,13
83d9,16
761a,19
416a,7
3df5,16
2147,11
e246,24
0ce5,15
6052,12
9e02,11
a376,16
d61d,15
9b33,8
2c29,15
26fe,26
f0a1,18
e01c,8
30cf,9
622c,13
8f1a,18
2c90,17
791a,13
32cb,16
553f,13
854c,10
a83d,20
2fd3,14
73ad,16
1fde,12
be43,11
bb8b,15
aca9,13
3f1f,18
1582,22
7526,9
037d,21
f6ab,19
a871,12
8267,8
daaa,20
07af,10
98ff,9
2f83,21
b08c,25
c502,15
7b5a,13
08e9,13
f2ca,18
06bc,15
c9a6,11
e8e6,20
c7f5,13
8a6e,12
a6bd,12
1714,10
dbba,11
5539,15
1dfb,11
e174,16
cf68,20
0d78,15
6504,10
7ad2,16
582d,17
7bdb,22
0578,13
16b7,16
f888,13
39be,14
9b45,9
a19d,22
b6df,10
136b,17
c278,16
663f,12
cefd,16
e514,20
e751,13
c940,18
2862,19
6083,12
57b3,14
1495,20
132f,15
6519,18
ff6b,22
70fe,17
7426,21
ba43,11
9f4d,15
3a7a,13
5c85,10
5c1f,9
733d,13
d68b,13
ca0c,15
fcda,20
cc64,16
9da5,8
dfdc,17
425f,10
bb7b,22
3e7f,13
b298,15
ecac,20
d612,13
984c,21
e8af,15
3918,11
4873,9
bb1f,11
a922,9
3394,20
cec9,22
44b6,9
ccb7,15
c2e6,11
7bca,17
f953,19
3b60,13
90be,13
99a5,4
64c3,16
27e0,16
969f,12
193b,11
d74b,10
cb78,17
7364,16
64bd,15
e7cb,10
4a41,18
7761,17
ecb7,18
4814,11
042b,18
97db,18
f02e,14
f223,12
1e77,17
f09b,6
b987,22
cbc3,17
23f7,16
15da,13
0c2e,11
13a5,23
1ee3,11
e2af,21
47c0,15
70f5,18
6cfb,14
0520,14
1519,17
7b29,16
3102,11
12d5,14
f6e6,11
994d,18
d6bd,9
ad97,11
4709,10
21ce,19
72ce,9
db78,21
19a0,8
1943,14
c5a4,10
5392,18
fc1a,15
3497,17
9bbf,10
0677,15
b50e,14
36f3,20
cc0f,19
db1f,10
b2b1,16
d62f,19
8e39,18
3eb3,9
038b,13
ab2b,11
7428,13
fb89,11
a07f,16
b45e,15
967e,13
373c,13
e202,17
f211,15
d5c7,13
bf23,13
15b1,13
a4f9,14
7f79,20
27d5,12
01d9,22
55d1,12
c670,14
54c5,10
35dd,13
28e4,12
2c24,12
8f71,18
d748,14
3411,16
26b0,10
d030,14
7366,15
73f0,12
e4ed,14
16c4,14
d13b,13
2da2,17
433c,13
22f3,10
0051,17
8274,13
68be,11
f21d,16
0ef6,15
f1c9,11
f125,16
0525,19
252d,7
ee4c,14
5cbf,19
1ba6,21
b0a4,14
532a,13
2a82,11
9a44,13
39ca,5
ac5b,19
f643,16
ea78,17
eca3,13
19c8,15
3375,10
d826,18
18c4,19
ce33,12
9d0e,10
487d,17
8ad7,12
505b,14
824b,15
6f66,11
19c7,17
d96f,13
4093,22
7ae1,8
36b7,18
b903,11
6e82,19
e048,15
2722,14
213d,12
b6ad,17
a3b1,18
fc60,10
8bd8,9
21a7,15
e685,17
5183,21
5cb5,13
c6d1,14
c3c6,15
7fd9,13
07b7,16
7afe,12
b75d,13
78c5,21
6bf8,20
1ada,19
6df6,15
132c,19
e562,15
58d7,14
2acc,14
2d81,18
8704,16
c0bb,7
ed6f,13
3eaa,15
edfd,18
674e,15
5a1b,14
2465,20
2fa5,21
549e,18
7e42,17
5b17,18
6d36,13
1af9,23
91b6,17
d594,9
d9e2,20
cc62,16
7aac,24
8805,22
ce18,14
134c,15
45ca,10
2a84,8
1f20,18
07dd,20
57b0,8
efcb,19
dee5,18
0adc,16
ff6e,13
bcf9,21
268e,16
ce42,16
2880,9
8fa9,14
6544,19
325b,22
4bfe,12
021c,22
38bb,10
1474,16
bfce,13
7433,10
92f5,15
2c15,13
1ed4,15
257a,13
348b,20
d84b,22
866b,13
57e4,9
09c2,17
6609,23
1a07,15
ebb9,13
4a4d,13
767d,12
3935,15
e3e8,11
133f,11
9b72,16
ab82,14
bbff,16
02c6,16
0b08,9
9565,14
b19f,18
fd85,17
de44,13
4f2b,8
2f1d,14
e3cd,17
2818,19
a409,16
285f,18
e287,24
698d,14
a687,11
c138,15
c7de,17
b56b,15
a444,16
aa38,17
5422,16
604e,20
6d26,14
a24c,12
1fe9,16
06a8,10
30f1,6
30d5,17
0653,15
9ea0,12
9e44,10
f09e,12
75f5,13
9cf6,21
6212,7
55d5,24
5caf,15
4609,16
551c,16
0a3f,11
00f4,19
b9d6,22
d814,11
4df7,12
30e4,12
6246,17
2685,10
3f16,17
586a,15
3db4,12
70b9,17
6d81,12
6bba,17
421a,11
fdad,11
6237,14
0943,9
f5e2,9
735c,9
61b9,14
6005,17
f29e,5
2bf0,16
4561,11
de83,6
2f6c,8
3dbd,15
4bf2,14
0ec5,14
e5e7,9
1cc7,13
3191,10
f0b1,14
9311,11
a5df,15
77ac,13
0e22,19
d6df,21
71b5,15
800f,16
bfd3,8
e5b4,23
29c6,12
129f,14
11f1,15
65f9,15
596f,12
9d5f,12
b3a0,15
d01a,16
7812,17
110b,15
9b98,16
eefa,14
3486,16
4f34,15
56b3,20
307f,20
21b7,11
815d,16
c9d7,15
f5b6,16
66be,14
7df7,13
41e4,13
235a,14
87bd,14
0aab,16
782b,19
0c0d,13
b7e3,23
5d9e,17
1c59,16
7941,14
036d,15
b1d1,10
c1ee,20
85dd,11
434e,16
6ba8,16
2127,13
532c,14
1283,13
024b,20
e2f9,14
3171,15
c8fb,15
eecc,23
6344,10
124b,12
ca61,17
039b,9
4148,12
dcc8,13
eb49,15
990c,15
6be2,10
7067,19
3863,19
5236,10
f58e,13
e30e,18
0591,7
fdd3,23
cdab,8
7b0b,13
d9ea,13
ebd2,10
3335,15
7c8d,19
1f52,11
23cf,11
49d5,14
994c,17
5722,11
b2b0,11
8cbc,14
1c3f,15
01ba,12
5a1f,16
4694,23
1fbe,13
b037,11
f4db,22
2d6f,10
6b4b,20
1fe6,7
a5e0,13
ae17,12
2e10,21
eeb3,13
cbb9,14
cae7,15
5836,12
5b2b,10
f753,18
06d9,22
b28b,12
e5bb,15
e6f2,13
4b7e,17
8e08,17
4cd8,15
42d9,17
67fa,21
c1d8,12
08dd,18
678c,8
2aca,25
b35b,14
1d05,9
e98c,16
1751,15
020e,13
3f77,12
3b90,9
d228,17
1faa,16
bbce,12
6e58,18
9b23,17
7e79,15
240a,10
50c7,14
5708,19
c15b,14
adbb,11
cd64,15
80b6,14
ef7b,11
33b5,12
0048,6
f367,17
0a63,14
8d0e,14
24c9,12
730f,12
b4c9,11
d957,10
bd9f,12
a182,21
8e41,17
df3d,9
678b,8
9ec3,15
b37c,17
e90c,20
ceca,17
7dee,8
11b0,16
9df6,10
e462,16
0bdd,15
df48,16
8d8c,13
b16c,12
f160,11
794f,20
1292,18
024c,17
eb26,15
af34,18
23f5,21
0ea2,20
e1e4,18
f7f4,13
93d6,14
cf1d,14
6bec,16
78a4,8
e378,9
3a98,8
2e65,10
1a50,13
a60a,15
5631,24
673a,13
e716,11
5682,11
d376,13
a7f6,17
2958,12
2e7e,16
bc77,9
054f,11
89e1,18
8a0d,15
7a4e,14
53e1,13
7d64,18
02ae,6
14a4,13
0ec9,15
e3c3,10
7e7e,19
f910,12
f6f4,18
2297,18
8d3f,15
bfc6,25
17d2,17
492a,16
4d24,14
ed1a,20
bd78,9
0fd6,13
4ea8,14
2dae,12
7153,13
d5f0,6
8170,10
d54e,13
956a,20
0ebe,25
035b,7
0cfd,12
3f60,14
5e44,13
d95a,10
85d6,14
3a64,9
a244,17
87d8,14
79a3,18
05b1,16
3bd6,16
a557,13
e1d6,11
0fc3,12
7cc6,17
f8b9,13
cd5d,14
e0d2,10
5204,22
7057,22
b899,14
0fe6,14
d15b,19
e03d,17
999a,9
eb4e,15
4887,12
e03a,15
0852,10
4371,12
e83a,16
57af,16
7c0b,19
484f,13
c4e8,10
b7a4,13
8174,10
e56c,19
cbf5,17
1811,20
1539,16
08ed,23
f8bd,21
5483,10
a761,19
cf4e,17
c92b,6
1c86,23
fb84,11
5651,17
9801,17
c630,12
2d98,12
4169,15
aade,12
1440,23
2f52,14
98b5,8
79b1,16
7891,14
30f6,14
8a32,13
a7d5,19
8470,11
e6e8,12
d3b5,20
f1a6,9
f065,21
3abc,17
7477,15
9bc7,25
db43,11
4a78,15
8e73,13
cf01,23
fee9,15
1626,13
5c61,15
9a88,11
916c,20
1520,16
01e0,13
2999,8
026a,20
6b20,12
83e1,14
2306,15
740c,20
6587,17
bf58,11
52be,10
2a9f,15
7715,19
0df1,15
d478,13
a79c,10
3b88,12
4b2c,10
736c,13
26df,12
54aa,17
71ec,7
adb9,12
b96f,18
e49c,11
6b9d,13
e4a4,12
195b,8
2fac,16
4d3f,16
1cd2,16
95a9,15
bbcd,19
4f1f,17
2dac,9
a849,15
80a0,17
0cb3,21
3d92,16
4877,10
1990,16
290b,16
9ece,15
1374,5
d324,17
dfca,18
eea0,12
c1f1,22
2d0d,14
f561,13
b9ad,23
ad47,22
65ae,12
8d08,13
bdd4,8
0487,19
0f3b,14
d3d7,9
10aa,18
e281,16
5e07,14
0d12,13
abde,16
6247,19
9439,11
ec39,12
1d35,24
6090,10
9c0d,11
a55a,14
55f1,12
7484,17
e609,8
7fab,17
d44f,10
3a81,18
2c5e,12
098d,16
0d99,9
c9ef,14
8548,9
314a,13
c23e,9
4ac4,12
294e,14
80fe,19
f47d,19
8cab,18
f781,11
693c,14
e9a8,9
c7c1,20
03bb,13
5529,11
20f4,14
3108,14
4a91,14
7618,15
772d,14
d740,18
7db7,13
e587,13
9313,16
c9e2,19
91cc,6
eec7,15
a9cf,18
56fe,13
8452,16
4281,14
1224,27
a7b9,18
7f37,13
e3d5,18
9d04,12
e217,19
f8ac,9
805a,18
031e,16
fe26,16
9ee3,13
7389,16
a113,17
6b3a,17
e4fc,11
e055,12
1ad5,17
7911,16
0c5b,12
4cd6,11
2434,8
fed5,12
5409,15
57fb,7
323f,14
a450,18
ee06,9
d073,22
8a12,13
49e6,17
6e85,16
0968,24
9834,19
3a08,15
9d16,13
05c7,10
67e0,14
50d4,17
c023,11
dd98,13
0c8a,14
243c,14
f1ec,12
bf5d,13
5b42,18
8c4b,11
22ef,17
c38c,19
cb60,9
727e,14
982b,17
5906,13
e48d,14
16c0,7
522d,16
c9d6,9
e5b5,14
827b,13
225a,16
c8dc,16
7676,18
7908,10
ecb5,11
d344,10
2d40,13
1369,16
58dc,12
a83a,17
9394,12
ac4b,11
2497,14
9ab9,15
8929,15
cb5e,15
af30,18
27bc,17
78d6,17
c817,14
e982,12
0d38,15
617e,18
e646,16
f1bf,16
f21f,16
03a3,19
e636,20
979a,18
55a9,18
8bd2,14
a49d,18
dd88,17
7b39,10
d7b5,19
55eb,17
aae5,16
557c,21
f452,17
6db1,14
fa4b,15
97c5,16
039c,14
34d0,15
527a,13
bfd9,7
df8a,24
d131,12
93d3,21
900e,14
ca58,9
7360,18
5186,16
9304,14
f448,12
4497,15
4da5,18
a95a,15
78e3,13
fd3e,14
726c,21
f3be,9
15c0,13
bd40,14
12f7,10
9d93,10
6aaa,9
a67c,11
0c09,12
bc95,15
d753,16
21e3,18
2dc4,12
abdc,10
937e,16
6780,19
65b9,14
c3c7,11
1096,17
dfa8,16
c7a3,14
5d8f,8
ed7c,19
360e,12
8f45,18
c1e3,13
0e90,13
ffd3,13
9c98,12
e442,12
e4f5,18
a0b5,15
3727,11
4b92,19
37b5,19
866f,9
b5a1,15
3e85,12
c8ea,11
7340,16
ac43,16
4059,10
641a,17
216a,13
e62a,13
d732,8
12a1,11
841b,9
6ef9,13
b3a8,12
71d0,13
ba79,10
30a2,20
a051,15
150e,25
8a08,13
deb2,10
a8f2,5
8030,18
2dec,18
aadb,9
cff0,9
0781,14
be0e,15
4b29,12
c80f,15
91fc,15
1cba,16
8fab,13
c8d4,20
bce7,15
cdcf,17
a90a,13
8407,8
7685,11
7309,17
2606,14
1066,21
d998,14
6676,14
989c,13
0d5f,13
fce0,16
b87f,14
0465,9
4937,10
4fe3,12
8292,13
89bb,14
3d99,16
50ca,17
7eef,16
6dea,12
e69b,15
6582,14
c34a,11
9023,19
84a8,8
1b3a,15
042c,27
5ff8,12
a703,18
c14f,12
fbfe,10
e5ae,20
d206,10
3c8e,20
126d,18
287c,13
316b,10
7f2a,14
887b,7
d431,5
388b,11
6c7f,13
53f0,13
6051,14
ab6c,12
377b,15
5c24,16
ff4d,16
8fe4,16
118f,17
dc50,21
9d3c,12
1640,11
91a1,12
b3ad,13
d095,12
2108,16
088a,14
4a1a,16
bcfe,14
ea85,11
ae74,13
e4c3,13
686e,22
7e70,20
ca1f,16
df55,15
1412,18
d4c7,16
9dfd,12
8379,16
bffa,25
f74c,15
d6f1,9
6f97,16
e7b7,18
8798,16
242a,15
1a8c,12
75e4,15
9430,16
ba3f,13
3920,19
fabd,15
2456,19
6dd4,15
a5c4,15
f4ee,14
5389,15
1311,13
aa86,15
5c8a,7
ab18,14
eb9c,16
cb65,13
f941,17
fd5a,20
3cca,10
715f,18
acd7,15
add0,13
08b8,16
6671,16
89a9,17
9e5a,22
d0ba,17
2a5f,17
933e,10
f264,16
e222,11
8bb3,9
e18a,15
2047,7
92a4,12
8a93,12
6e19,15
81c8,14
63e1,9
0523,17
e057,16
386f,16
f353,12
01c8,16
0309,19
9f2e,20
1f42,14
9085,11
c5d9,12
abf0,12
324c,7
ebda,15
351c,19
7aaf,14
e8ea,16
6dad,14
246b,11
817a,11
550d,14
6192,14
42af,13
eead,12
7301,15
69ed,16
f9f2,9
a16b,20
9dbe,17
bc2f,15
43bf,12
fc1c,18
4833,13
ddc2,16
d41e,10
9589,17
65ce,20
a30e,14
be63,10
949a,14
6d28,18
a043,13
8823,15
7009,11
cb9f,14
d31c,14
79c2,14
f6d8,16
e120,12
30d3,19
56f5,22
1c70,18
8c2f,8
e145,18
a677,9
196a,16
9c82,16
0dfc,15
c91e,7
ac47,19
1169,14
f1e8,17
70f1,15
455d,14
1771,14
8aef,6
25e1,15
dbf3,22
e098,16
b983,25
80b0,9
144e,11
fae6,14
09b0,18
51d5,15
3fe8,13
b59a,16
5629,13
f8b5,15
25ce,17
b326,15
a397,15
94af,17
1425,14
6b7a,11
f0f2,13
a06f,17
3c4d,9
9e7c,16
18a0,16
7dc5,15
e858,12
8043,25
c275,11
0a68,9
4528,11
8e92,20
ddfc,21
386d,18
209e,14
94a2,17
0462,12
37e9,16
2402,20
88b2,15
a05d,16
155a,11
b81c,18
adcf,9
b7bf,14
a2a8,16
d250,12
5822,11
43de,15
3b85,14
eb4c,14
4305,14
12c2,13
8924,14
83f7,18
afa0,14
7e29,10
b560,19
ddde,14
9122,14
b209,11
0ec1,27
a275,23
7b65,18
f009,19
f3eb,19
b655,9
9c1a,19
8ee2,11
a233,14
1658,16
fc40,10
22a4,14
d7a0,22
5224,16
fde6,14
86ac,13
24a3,10
8807,9
f97c,13
eccf,21
bb2e,16
b5af,13
c533,15
c95b,18
af94,14
0d58,15
041c,17
7e87,11
208f,19
df8e,15
a284,15
5d82,15
a16f,15
22bb,11
6d38,11
1b38,12
8182,14
17a1,17
27e3,15
4c5b,9
5a32,15
0fc0,13
8aee,10
dd99,8
f7ea,14
9293,11
c6a5,22
b948,12
f3ec,10
f19f,18
9505,20
0d05,11
ccf0,15
07e0,9
48b7,10
27d0,10
c252,13
f84a,17
a259,13
72ae,15
a4b7,20
ca85,19
b24e,16
6723,13
e5c0,13
7e56,12
56d9,14
7bb9,20
8090,10
d803,17
601b,10
cb7b,19
fd0a,11
e46f,13
d0ef,9
3e67,11
979d,12
cc89,8
f3d3,25
51c2,14
798e,17
73c6,24
1221,8
8c8f,12
af3c,15
4cd7,12
5e0c,20
c194,15
1052,15
6a06,14
2242,17
2ef9,13
e2ba,14
064b,16
245e,10
2f5b,14
be86,15
cd6b,21
b4c2,14
2322,14
0e6a,14
66fe,17
9e20,15
f943,9
4849,11
8bf3,16
4d2a,13
ba61,17
ba73,20
4045,14
4874,14
5da2,16
dfa3,17
cf0a,19
c967,17
cd4c,14
93c0,17
e9d7,10
25f1,14
620e,12
bfe7,11
24a4,18
5d5b,12
534b,13
5b53,13
519c,13
c7bc,17
f6f6,20
bf9e,10
9744,18
bf33,14
e6a4,14
8b10,11
7b2c,10
04d6,14
c1e1,10
eb7b,17
4c4e,10
75d8,16
576b,18
040e,11
c11c,15
93d2,14
f41a,12
3b33,10
b393,14
8246,19
6156,14
286f,17
9dba,17
ac8c,12
a505,16
a335,18
c29e,16
904d,14
4a79,14
9596,15
301e,12
2331,11
8c7c,8
b4f0,13
448b,13
9889,18
2cbf,10
203b,12
e0e6,11
bb73,12
328f,20
e5c7,12
1ad2,16
dcd7,23
73d4,11
578a,11
8d29,10
bd4a,15
4771,13
8c47,12
ae35,9
44f2,11
f4a7,10
996c,14
00b4,15
b8e7,15
00f9,11
3964,20
39b2,13
d6e4,15
3a92,18
6cbc,11
d1eb,10
83ee,9
642f,14
7f05,14
6332,8
3cda,20
5299,15
3e2e,14
e407,14
063a,14
6028,18
7844,12
41dd,13
902e,13
46b0,14
fab6,20
19db,11
b49b,20
1d12,15
7f74,12
4c17,11
3ac2,15
1334,9
5adb,17
7c49,20
ffa7,17
1073,16
6886,9
c836,14
d9e5,16
c0e5,11
ed8e,11
3e88,16
5b9c,17
ab47,12
3535,14
4e72,14
c033,18
1738,14
fc65,14
503b,12
3d51,16
9f8b,8
7b6b,13
ca5c,13
536e,19
7efa,19
0e42,14
ca4c,15
83c6,12
4fc6,16
4c3b,13
5b6e,15
16a4,13
dde4,7
4b09,20
fe2a,14
6c4e,15
0740,16
42cf,12
2b98,6
1435,18
2401,18
96e1,17
c00d,14
f11b,18
aa14,8
21c6,15
38fa,14
7bd9,14
1351,24
ba4e,10
0c7b,13
278b,16
c768,15
5f66,11
1612,14
219c,13
ecdc,15
40c7,16
43ac,18
d1d7,26
4468,14
12b6,13
1773,15
c858,18
ac86,17
2f17,15
9baf,16
b44f,9
1613,12
2801,16
de6c,15
83ce,11
86c9,16
684b,11
14da,17
f664,17
60f3,11
8124,13
6c03,12
3c4b,15
544e,20
783b,9
6b86,8
3a25,15
2956,10
2f8d,16
c6af,19
2f02,20
9174,12
ae0a,16
b73b,13
2ec8,11
638a,9
9b8b,16
c0f2,18
ee82,15
a931,13
f66c,15
c176,12
3bad,8
daef,12
c27c,15
abc7,15
834a,16
ffd8,16
a23f,19
03ae,15
a729,12
1cec,15
b57c,16
0d81,12
5a07,9
1bd2,12
da8c,11
51d7,7
71e5,11
e904,10
8ba0,16
9299,16
e527,14
3dd3,17
54e6,12
fc87,17
ec4e,23
2d80,13
8867,8
ddf6,16
329b,15
926f,20
3083,9
f720,12
7be4,11
4e48,14
f5e0,13
2566,10
50e2,17
604c,13
dda1,8
102d,10
f2f4,12
4d1e,17
6f8f,17
0629,15
5ca8,19
3ca1,22
653c,10
5e18,8
b852,13
a553,23
13f5,11
f7f2,11
6ab4,17
c80b,17
54d5,9
c9c5,16
97b1,13
e364,15
eebd,15
9258,21
4c4b,11
a606,18
d01b,15
ed4e,13
c848,5
b942,17
eaec,11
67cc,14
a540,14
7b26,13
7116,12
7eb4,13
3155,13
1608,20
bcd9,15
0b7e,10
6e98,10
e356,19
c1f5,10
b64a,17
59b2,18
7a26,11
6f73,11
a5d2,17
e465,16
d307,15
56b9,15
d251,15
65c8,17
f11f,20
4f1e,20
e072,15
7f92,17
68ec,11
ccb6,19
8d81,12
69de,10
a7d2,13
1dc2,16
a5ae,19
79fb,11
757e,19
df0d,13
850c,19
f497,21
a671,9
08b9,21
aeb9,16
be1c,17
0a5b,13
4875,14
4e4e,10
5f95,21
eddf,21
70c9,22
2cb3,19
b6c2,19
7e5f,12
c172,15
772b,11
4910,17
1b5b,17
90d3,18
dd57,15
c01a,15
9115,17
f569,12
a07d,14
c244,12
e43e,11
ab88,15
1695,16
03c5,15
3347,17
100c,12
cc78,14
1848,14
e624,16
c895,16
0173,15
3510,14
f1dc,12
f14a,12
6977,16
461b,16
7a15,15
cdd7,16
308a,13
d0ab,15
e5ee,15
91fe,15
0e70,13
7621,20
e64e,7
4b4c,16
7243,13
744e,12
4399,17
c2d5,18
41c8,17
25e7,13
80b9,15
3f54,14
196f,16
69ef,18
9d17,12
244a,11
b9f0,21
5057,14
aa75,18
c6ab,11
2210,12
6e89,19
ce57,10
6004,18
4670,11
bf0c,9
73a8,18
e7af,16
d40e,13
0403,20
830a,10
7a8d,12
4cbc,14
7c11,8
6552,18
c6c1,13
967f,19
cba9,12
5ed6,15
166d,16
0b8b,20
8c5f,11
b195,16
f905,12
255e,18
3e49,12
ea98,16
3d86,12
82ed,14
46be,19
b885,20
2240,14
28e2,20
2ffe,14
533b,10
71c9,17
2c55,17
5327,12
3be4,11
97c6,12
14d3,19
0f01,17
c9b0,11
9fa4,11
de65,19
99ce,16
4ae4,24
ed75,23
3b20,24
0477,18
e116,14
a68d,12
650d,27
ec8e,11
81b5,11
2ae2,15
59d6,10
121b,10
ebbd,14
1657,9
4368,15
9740,15
5ae6,15
d202,18
c754,10
1721,11
c055,14
0cc3,8
5fbb,25
f05a,11
e7da,18
62cb,10
4cac,20
6907,15
8d79,21
0883,13
d45f,16
9fcd,15
0153,13
9b51,9
e05d,10
bee2,6
a930,11
778c,18
97c7,14
47cd,9
7d61,10
c39e,21
f886,10
e4b1,18
c16a,8
6fb5,14
ec79,14
cf7d,11
c3b1,14
b3fa,17
542b,16
71e2,15
92bb,12
a00b,12
c847,17
becb,12
a4b5,21
8e5a,16
6de1,15
8c46,17
9d6f,21
bcef,20
cdaf,16
4cf1,10
fe3f,15
2909,13
eb88,16
00c5,18
f54c,12
bb2f,19
92cb,16
2b7c,12
c526,17
1a3c,16
8bd1,10
99ed,11
7ae8,18
8ff3,12
4b45,12
c60d,13
3aee,14
73c5,15
ed9c,12
0f5e,16
0a48,10
929a,13
2b9f,12
0ed5,7
7eba,11
31be,13
a953,15
4914,7
e226,12
dfc9,14
9ccf,17
74a8,12
6460,15
35b9,16
0c6b,19
0c34,14
a3a6,11
ec60,16
d1a0,12
3dfd,12
f7c0,11
30fe,12
48fa,16
bfb3,13
3ae0,17
07c3,17
09a1,12
384a,12
b97f,10
e18e,14
d6ea,14
b1a0,14
6cd2,13
a800,12
361b,20
72b6,11
de09,22
72e0,9
a779,16
bfad,19
cc28,14
3d78,12
329e,7
06a5,19
fe15,17
33fc,12
3fc8,21
dce8,10
4a75,8
7f4d,18
7bb0,21
cbea,18
85b4,9
daf2,16
fe11,14
ec51,16
bd0f,15
f189,8
ec6e,13
7815,13
c597,14
cbc8,20
142c,16
7ad3,16
306b,15
15ca,20
d9d4,12
0e14,15
aab3,11
4068,9
3d0c,18
1d16,16
a2ce,18
d11a,14
456e,18
4e2c,16
a322,19
a41b,10
dade,18
ca89,21
e397,13
510e,25
a0d0,11
2658,19
0d0e,19
c68c,15
e8d2,12
8fdc,8
4a98,15
bf04,13
3b38,13
9e73,13
b7f0,14
ec9f,13
e850,16
9b8c,13
143b,12
3a14,18
6270,14
e075,14
a010,12
2d73,15
b968,17
71a9,24
bbe6,12
3b94,17
7b7f,11
a885,11
0ad7,10
2c8d,13
74cf,12
75a3,10
fbf5,10
32c8,19
f1f8,18
00d4,14
b08f,14
2745,13
fd99,14
1f03,17
7ba2,19
a078,10
cbbd,19
7d83,15
4c73,11
5b16,19
4a6e,22
b084,20
908a,14
8910,13
8e25,14
74da,11
f2ba,12
37ff,14
2735,12
e062,23
5505,17
5e76,16
7b12,18
2abf,16
f1af,12
f71a,16
f8f4,16
057e,16
90bd,14
23f1,13
6161,17
c872,11
