byte,count
7ce2,16
ae9a,20
9a0d,19
22b5,12
8a30,17
565a,15
62bd,20
70f4,14
e25e,17
435c,14
d2a0,21
05b5,15
b0a2,15
5ec5,13
668e,9
3d7e,12
3a76,14
0a40,21
0d68,12
8ee7,10
79d2,14
0752,13
42df,22
4648,15
d1da,14
7042,14
8550,8
2126,21
f610,16
d684,19
7c16,15
f4fd,13
f7b3,12
d0bc,13
c75d,12
a8fc,17
9be0,12
d4c0,12
c1b1,14
18dc,13
7062,15
9207,12
34bd,18
26d2,13
7756,13
1b75,24
9b21,19
59ad,16
9c2c,13
3ce0,17
1e81,10
e6f7,15
a421,16
7fc9,16
6206,13
2091,17
4578,9
a793,21
bd93,18
9bef,15
7d8a,17
3fc6,11
598b,16
67fb,17
ec0f,11
5d1a,18
d0a8,10
6e46,12
bbcc,18
3289,12
41bd,12
e6e9,18
a026,20
c010,11
5610,19
8ac8,12
47ff,11
0dde,15
8d95,16
27d3,16
1635,10
fc12,10
09ce,15
5fa9,18
2338,18
76a3,11
c33f,14
ea3e,10
4656,17
0be2,15
95c9,20
ce95,13
dbde,10
3d40,16
a1a5,16
0cce,15
dc22,14
08ef,19
da47,17
f3e6,19
f916,18
90b4,12
fcb2,19
53af,14
9f87,20
d094,18
b257,12
5737,11
ac5c,8
1da4,14
a1a4,17
ed44,12
31ff,11
8792,9
707b,10
7f8c,15
0a73,12
4711,14
b241,15
56c3,15
eadc,15
4ed6,18
c602,19
e3e5,17
fe0b,14
d820,10
52b1,13
1db3,11
1d98,13
0819,15
519b,21
6f62,13
0f93,15
67b8,17
cb4a,16
96c9,21
91ca,15
4620,15
4f82,11
20a8,12
baf7,19
a56b,17
905c,13
f9c1,16
f842,12
8f7b,12
9835,21
e295,11
e788,16
6c2e,12
4c37,15
bb66,15
7532,13
b2d1,11
4fbb,16
8d02,14
c867,15
6aa3,16
dbc7,11
9fbe,19
94ff,15
9351,7
28dc,10
f44e,14
b656,15
c1d5,13
27f0,9
3c43,17
2308,9
4420,10
cc46,15
0dd3,14
971c,8
77d8,17
2565,9
f284,11
1c22,9
0772,8
4ba7,11
c7a5,16
faa6,11
0816,13
d25a,16
67cd,9
c12c,14
bff6,16
25c6,13
c816,8
fec9,18
e456,14
126e,14
7545,11
d569,11
34c1,14
69a9,15
1d42,17
d8df,11
af2a,14
5196,13
ea3c,21
c03d,12
946f,15
2b2b,13
5495,19
b4d8,23
07c4,17
1d20,13
fbdb,8
3e4f,15
e03e,22
8755,12
ea3b,13
e847,10
0c6a,28
78e0,17
306e,10
1df2,9
65b3,8
bbef,19
0339,12
af9f,12
2882,17
3fff,20
d128,13
225b,15
1d7d,17
03a2,19
ce16,13
03a0,12
775f,12
5479,9
9c4f,18
4cb6,14
b6cc,14
8340,22
b464,11
42aa,16
6288,19
f68b,13
e53a,13
a0b6,13
c6b7,14
38a9,13
ec20,12
99c0,17
a607,10
2106,16
2404,12
bfed,14
87cc,18
2715,8
67c7,22
bbbc,12
035e,12
25db,12
7090,9
61cc,22
f5ea,16
dba7,12
351e,19
d011,18
7566,11
1be3,15
83d2,20
dad7,6
e57c,17
e7e4,14
c06c,7
0ba6,16
8ac3,13
9be3,11
d3c0,16
d548,18
f12b,17
9e58,13
6de5,20
fd0e,14
201a,18
b0cb,11
ac61,22
f1d6,20
4442,16
251d,20
18a5,14
5c1c,19
3965,20
275c,18
4645,13
bf2e,8
4d30,16
7896,14
08cd,18
6336,8
9343,18
1c78,11
1197,11
4e66,19
ec94,11
79e4,18
bac0,9
efb5,13
fa22,7
1cb6,21
3592,18
7372,12
f9d6,12
cf0f,15
8419,10
082c,17
2e69,15
e0f7,11
589b,14
e8c1,16
bc7f,19
aada,10
8e05,16
a97c,13
f36c,10
a5b8,21
816b,19
12ee,19
bceb,13
b854,22
34e4,12
559a,11
13e5,17
8dc3,22
efb0,11
d909,18
a87b,21
6133,12
c9b2,16
7226,16
f4d0,21
4aa9,11
c40b,16
e631,16
385d,10
89ad,15
bf87,16
6702,15
b3cb,15
ecb8,11
b166,16
9086,16
289f,12
fe5e,19
6c19,12
eae0,11
1f2f,13
f896,13
1693,13
de25,9
34d3,16
ef91,16
e6cb,18
7085,13
713c,22
28e3,22
e1c6,12
2350,11
c50d,11
2fa8,23
4c50,16
